epsilon,auc
0.2,0.5206330128205128
0.5,0.46584535256410253
1.0,0.457711940746672
2.0,0.45454545454545453
5.0,0.419811320754717
10.0,0.5349559294871795
inf,0.4994405452141186
0.2,0.5290009110233829
0.5,0.5326174227217985
1.0,0.41451563923474033
2.0,0.5063541666666667
5.0,0.5143057222889156
10.0,0.5251127819548872
inf,0.4976990796318527
0.2,0.47949179671868747
0.5,0.5987394957983193
1.0,0.5043017206882754
2.0,0.42020364956144773
5.0,0.5291867954911433
10.0,0.5097624798711755
inf,0.47940657744579307
0.2,0.47615665584415584
0.5,0.492588141025641
1.0,0.5721288515406162
2.0,0.44771176234444
5.0,0.6015406162464987
10.0,0.4804542257059592
inf,0.3766666666666667
0.2,0.4913446054750402
0.5,0.4993494144730257
1.0,0.5381610576923076
2.0,0.4935338345864662
5.0,0.5116
10.0,0.6033759590792839
inf,0.5279447115384615
0.2,0.5467669172932331
0.5,0.4841746794871795
1.0,0.5074029611844737
2.0,0.5353260869565217
5.0,0.48634863486348634
10.0,0.4836411079887595
inf,0.4459052589321558
0.2,0.5264
0.5,0.43817743877960663
1.0,0.44320000000000004
2.0,0.4911508951406649
5.0,0.5484711779448622
10.0,0.5108173076923077
inf,0.49317543155359295
0.2,0.5524750478878919
0.5,0.567882624861823
1.0,0.5607420102832947
2.0,0.5125451625853071
5.0,0.4666666666666667
10.0,0.5012561551602854
inf,0.5490196078431372
0.2,0.4992929292929293
0.5,0.46929292929292926
1.0,0.49114911491149116
2.0,0.46698113207547165
5.0,0.48133455396195707
10.0,0.5014005602240896
inf,0.5928822055137845
0.2,0.5215097402597403
0.5,0.38823882388238834
1.0,0.5049624060150375
2.0,0.5315151515151515
5.0,0.5404864377940146
10.0,0.5023521169052148
inf,0.5332125603864735
